ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
Vasario 16-osios gimnazija,9000518008,,,NE,,,,,,
PASAULIO LIETUVIŲ BENDRUOMENĖ,9000132552,,,NE,,,,,,
Marijampolės vaikų lopšelis-darželis,306808778,Marijampolės vaikų lopšelis-darželis,306808778,TAIP,1 metai 9 mėnesiai 22 dienos,2024-05-31,Birutė Dičiūnienė,"Kauno g. 13B, LT-68178 Marijampolė",+370 343 55361,
KIT CAR VšĮ,306735020,"KIT CAR, VšĮ",306735020,TAIP,1 metai 10 mėnesių 26 dienos,2024-04-26,"Eimantas Jazokas, prezidentas","Pienių g. 18-21, LT-47446 Kaunas",+370 660 28641,
"VšĮ ""VasarėJ""",306734349,"Vasarėj, VšĮ",306734349,TAIP,1 metai 10 mėnesių 26 dienos,2024-04-26,"Jolanta Preidžiuvienė, direktorė","Aukštagojaus g. 9, Kalno k., LT-39239 Pasvalio r.",+370 600 81141,
Paramos fondas Noros klausai,306734064,Paramos fondas Noros klausai,306734064,TAIP,1 metai 10 mėnesių 26 dienos,2024-04-26,"Žydrė Žilinskaitė-Pleitė, direktorė","Vido Maciulevičiaus g. 24-82, LT-04308 Vilnius",+370 684 68611,
Danieliaus Ulevičiaus labdaros ir paramos fondas,306733425,Danieliaus Ulevičiaus labdaros ir paramos fondas,306733425,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Naglis Ulevičius, direktorius","Giedraičių g. 39, R53, LT-09302 Vilnius",+370 635 41733,
Norberto Juzėno VšĮ,306733119,"Norberto Juzėno, VšĮ",306733119,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Loreta Juzėnaitė, direktorė","Suopių g. 4, LT-27128 Vilnius",+370 656 66166,
Viešoji įstaiga Soti voverė,306733069,"Soti voverė, VšĮ",306733069,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Irena Vanagė, direktorius","Titnago g. 7-506, LT-02300 Vilnius",+370 609 50836,
"VšĮ ""Fast LT""",306732889,"Fast LT, VšĮ",306732889,TAIP,1 metai 10 mėnesių 28 dienos,2024-04-24,"Gintarė Minevičė, direktorė","Žemaitukų 1-oji al. 27, Bendorių k., LT-14196 Vilniaus r.",+370 659 50981,
"Asociacija ""Mano MAMA juda""",306732864,"Mano MAMA juda, asociacija",306732864,TAIP,1 metai 10 mėnesių 28 dienos,2024-04-24,,"Šiaurės g. 24, Giedručių k., LT-71106 Šakių r.",,
Vienbučių gyvenamųjų namų Joneikiškių g. Vilnius savininkų bendrija,306732750,Vienbučių gyvenamųjų namų Joneikiškių g. Vilnius savininkų bendrija,306732750,TAIP,1 metai 10 mėnesių 26 dienos,2024-04-26,"Agnė Šlajienė, pirmininkas","Joneikiškių g. 30, LT-14287 Vilnius",+370 622 02200,
"Labdaros ir paramos fondas ""Majuko debesėliai""",306732647,"Majuko debesėliai, labdaros ir paramos fondas",306732647,TAIP,1 metai 10 mėnesių 28 dienos,2024-04-24,"Marius Juraitis, direktorius","Vytauto g. 55-20, LT-21105 Trakai",+370 655 90995,
Lukučio paramos fondas,306732526,Lukučio paramos fondas,306732526,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Vytautė Pankinaitė, direktorė","Lazdynų g. 22-1, Trušelių k., LT-92337 Klaipėdos r.",+370 647 84385,
"Labdaros ir paramos fondas ""Gabrielės svajonė""",306732451,"Gabrielės svajonė, labdaros ir paramos fondas",306732451,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-23,"Renata Pauparienė, direktorė","Dubingių g. 1A-8, LT-49362 Kaunas",+370 687 97015,
"Asociacija ""Draugų pakrantė""",306732405,"Draugų pakrantė, asociacija",306732405,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-23,"Povilas Litvaitis, prezidentas","Vakarinė g. 38-1, Aukštųjų Rusokų vs., LT-14248 Vilniaus r.",+370 673 55020,
VšĮ BC VT,306732266,"BC VT, VšĮ",306732266,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Donatas Skiotys, direktorius","Statybininkų g. 6-27, LT-37353 Panevėžys",+370 640 40200,
VšĮ Šaudymo klubas Geležinis vilkas,306731730,"Šaudymo klubas Geležinis vilkas, VšĮ",306731730,TAIP,1 metai 10 mėnesių 28 dienos,2024-04-24,"Robertas Mikša, direktorius","Kalno g. 7-21, Matuizų k., LT-65469 Varėnos r.",+370 611 10476,
TGracing VšĮ,306731584,"Tgracing, VšĮ",306731584,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-23,"Tomas Graževičius, direktorius","Perkūnkiemio g. 19, Vilnius",+370 604 43570,
"VšĮ ""Butmano projektai""",306731513,"Butmano projektai, VšĮ",306731513,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-23,"Paulius Butmanas, direktorius","Sniegenų g. 48, LT-46382 Kaunas",+370 644 21366,
MAGNUS FAMILIA TRAVEL klubas,306730863,"""MAGNUS FAMILIA TRAVEL"" klubas",306730863,TAIP,1 metai 10 mėnesių 27 dienos,2024-04-25,"Alicijan Romankevič, pirmininkas","Tolminkiemio g. 3-26, LT-06214 Vilnius",+370 686 51151,
"Labdaros ir paramos fondas ""Žvilgsnis į šviesą""",306730571,"Žvilgsnis į šviesą, labdaros ir paramos fondas",306730571,TAIP,1 metai 11 mėnesių,2024-04-22,Ugnė Žilytė,"Perkūnkiemio g. 13-91, LT-12114 Vilnius",+370 608 52561,
VšĮ Didysis Brolis,306730518,"Didysis Brolis, VšĮ",306730518,TAIP,1 metai 11 mėnesių,2024-04-22,"Fredas Samas, direktorius","Ateities g. 19-938, LT-37341 Panevėžys",+370 682 71701,
"Labdaros ir paramos fondas ""Meliora mundi""",306730436,"Meliora mundi, labdaros ir paramos fondas",306730436,TAIP,1 metai 11 mėnesių,2024-04-22,"Renaldas Šinkonis, valdytojas","Ukmergės g. 24-28, LT-49313 Kaunas",+370 686 68882,
Barzdžių bendrija,306730411,Barzdžių bendrija,306730411,TAIP,1 metai 11 mėnesių,2024-04-22,"Valdas Julius Jonušis, pirmininkas","Barzdžių k. 3, Barzdžių k., Širvintų r.",+370 698 00464,
Lėjos Paldauskaitės labdaros ir paramos fondas,306730379,Lėjos Paldauskaitės labdaros ir paramos fondas,306730379,TAIP,1 metai 11 mėnesių,2024-04-22,"Loreta Paldauskienė, administratorius","Nemuno g. 19, Lingių k., LT-96355 Klaipėdos r.",+370 601 38171,
VšĮ Šimtas metų,306730176,"Šimtas metų, VšĮ",306730176,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-23,"Robertas Kibildis, administracijos vadovas","Birutės g. 75, LT-76217 Šiauliai",+370 680 80367,
Alytaus aktyvių tėvų bendruomenė,306729373,Alytaus aktyvių tėvų bendruomenė,306729373,TAIP,1 metai 11 mėnesių,2024-04-22,"Kristina Šiupienytė, pirmininkas","A. Jonyno g. 13-22, LT-62363 Alytus",+370 601 67204,
VšĮ LBfactory,306729035,"Lbfactory, VšĮ",306729035,TAIP,1 metai 11 mėnesių 3 dienos,2024-04-19,"Mindaugas Lukauskis, direktorius","Sabutos g. 46, Melkio k., LT-14245 Vilniaus r.",+370 613 55790,
Asociacija DS TEAM,306728912,"DS TEAM, asociacija",306728912,TAIP,1 metai 11 mėnesių 6 dienos,2024-04-19,"Gytis Vizgirda, pirmininkas","Bažnyčios g. 4, Slavikų k., LT-71361 Šakių r.",+370 622 31863,
Asociacija Pasvalio Užupio bendruomenė,306728734,"Pasvalio Užupio bendruomenė, asociacija",306728734,TAIP,,2024-04-26,,"Kosmonautų g. 12, LT-39121 Pasvalys",,
Tavo pasaulis Labdaros ir paramos fondas,306728702,"Tavo pasaulis, labdaros ir paramos fondas",306728702,TAIP,1 metai 11 mėnesių 2 dienos,2024-04-23,"Gintarė Bartninkienė, direktorė","Šateikių g. 3, LT-48190 Kaunas",+370 639 89617,
BaltaLietuviai,306728691,BaltaLietuviai,306728691,TAIP,1 metai 11 mėnesių,2024-04-22,"Gustas Ramonas, prezidentas","Toluvos g. 7, LT-14333 Vilnius",+370 683 18866,
ASOCIACIJA MAJAKO KALNŲ BENDRUOMENĖ,306728563,"MAJAKO KALNŲ BENDRUOMENĖ, asociacija",306728563,TAIP,1 metai 10 mėnesių 29 dienos,2024-04-26,"Agnė Milkuvienė, direktorius","Lopiškių k. 1, Lopiškių k., Lazdijų r.",+370 626 19674,
VšĮ Kamuolio meistrų klubas,306728556,"Kamuolio meistrų klubas, VšĮ",306728556,TAIP,1 metai 11 mėnesių,2024-04-22,"Laura Vičienė, direktorė","Parko g. 10, LT-00303 Palanga",+370 608 31592,
"VšĮ ""Laisvės gidas""",306727511,"Laisvės gidas, VšĮ",306727511,TAIP,1 metai 11 mėnesių 4 dienos,2024-04-18,"Valentinas Goris, direktorius","Chemijos g. 27C-62, LT-51331 Kaunas",+370 685 00889,
"VšĮ ""Algoritminio mąstymo akademija""",306726929,"Algoritminio mąstymo akademija, VšĮ",306726929,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Sandra Laurutienė, administracijos vadovas","Statybininkų g. 9-84, LT-78215 Šiauliai",+370 687 07275,
